metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
149,4+kk,C,Po rekonstrukci,praha 5,14900000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zbraslav-jaromira-vejvody/4071301708
141,5+kk,C,Novostavba,stredni-cechy,11490000,https://www.sreality.cz/detail/prodej/byt/5+kk/nehvizdy-nehvizdy-prazska/3778081356
90,4+kk,C,Ve velmi dobrém stavu,praha 5,13900000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hlubocepy-silurska/2077848140
96,4+kk,B,Novostavba,praha 5,16800000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-hlavackova/2331058764
97,4+kk,C,Novostavba,praha 9,12900000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-ujezd-nad-lesy-racineveska/4212970060
73,3+kk,B,Ve velmi dobrém stavu,stredni-cechy,8490000,https://www.sreality.cz/detail/prodej/byt/3+kk/polerady-polerady-/3082814028
114,4+kk,B,Novostavba,praha 6,22980000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dejvice-pod-juliskou/1987904076
90,3+kk,B,Novostavba,praha 5,18628295,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-nadrazni/893776460
42,2+kk,F,Ve velmi dobrém stavu,praha 8,7590000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-pernerova/3697357388
103,4+kk,B,Novostavba,stredni-cechy,11990000,https://www.sreality.cz/detail/prodej/byt/4+kk/horomerice-horomerice-holubova/3576538444
37,1+kk,B,Ve velmi dobrém stavu,praha 3,5890000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-mezi-domky/328888908
48,2+kk,B,Novostavba,praha 9,7486416,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-cakovice-marie-podvalove/3773244748
45,2+kk,G,V dobrém stavu,stredni-cechy,3490000,https://www.sreality.cz/detail/prodej/byt/2+kk/horany-horany-/1829241420
85,4+kk,C,Ve velmi dobrém stavu,praha 4,11490000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-chodov-klirova/358027852
72,3+kk,B,Novostavba,stredni-cechy,7998000,https://www.sreality.cz/detail/prodej/byt/3+kk/slapy-slapy-/3163492940
70,2+kk,G,Po rekonstrukci,praha 6,13500000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-narodni-obrany/43188812
72,3+kk,G,V dobrém stavu,praha 6,8890000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-predni-kopanina-do-rokli/1408369228
153,4+kk,B,Novostavba,praha 6,21835000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-repy-u-lesoparku/2469397068
126,3+kk,G,Po rekonstrukci,praha 2,22000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-francouzska/265028172
